luz,voltaje,hall_digital
2177,2240,0
2177,2239,0
2167,2240,0
2171,2241,0
2173,2240,0
2166,2239,0
2170,2238,0
2167,2240,0
2171,2237,0
2170,2237,0
2176,2240,0
2170,2239,0
2174,2244,0
2173,2238,0
2171,2238,0
2179,2240,0
2178,2236,0
2183,2238,0
2182,2240,0
2182,2240,0
2188,2237,0
2189,2240,0
2186,2238,0
2327,2237,0
2346,2239,0
2343,2239,0
2352,2240,0
2349,2240,0
2192,2240,0
2175,2240,0
2178,2239,0
2209,2240,0
2306,2240,0
2336,2238,0
2348,2239,0
2352,2238,0
2189,2239,0
2176,2239,0
2176,2239,0
2171,2238,0
2170,2239,0
2170,2243,0
2166,2239,0
2171,2238,0
2171,2240,0
2171,2236,0
2172,2239,0
2167,2240,0
2167,2240,0
2171,2239,0
2170,2240,0
2169,2238,0
2171,2238,0
2165,2241,0
2169,2237,0
2167,2240,1
2165,2240,1
2171,2242,1
2165,2240,1
2167,2240,1
2160,2239,1
2160,2240,1
2171,2241,1
2166,2241,1
2170,2243,1
2161,2239,1
2164,2243,1
2166,2243,1
2169,2241,1
2174,2243,1
2174,2240,1
2165,2240,1
2164,2239,1
2167,2238,0
2167,2235,0
2169,2241,0
2166,2234,0
2171,2237,0
2169,2238,0
2171,2238,0
2172,2240,0
2175,2241,0
2169,2239,0
2175,2237,0
2176,2239,0
2174,2240,0
2175,2240,0
2172,2238,0
2176,2235,0
2167,2239,0
2173,2237,0
2163,2240,0
2165,2240,0
2163,2237,0
2165,2240,0
2167,2241,0
2173,2238,0
2299,2239,0
2341,2237,0
2343,2240,0
2347,2240,0
2351,2235,0
2352,2240,0
2343,2237,0
2291,2241,0
2181,2231,0
2182,2237,0
2284,2240,0
2291,2238,0
2199,2239,0
2171,2240,0
2171,2238,0
2166,2240,0
2169,2239,0
2166,2240,0
2170,2238,0
2170,2238,0
2174,2239,0
2171,2238,0
2169,2239,0
2171,2238,0
2164,2241,0
2170,2241,0
2171,2239,0
2167,2239,0
2166,2237,0
2172,2237,0
2167,2239,0
2165,2238,0
2169,2237,0
2165,2239,0
2169,2239,0
2167,2237,0
2163,2236,0
2171,2241,0
2167,2236,0
2163,2240,0
2169,2237,0
2165,2237,0
2171,2236,0
2169,2238,0
2165,2237,0
2171,2236,0
2162,2239,0
2164,2237,0
2170,2238,0
2171,2239,0
2174,2237,0
2176,2239,0
2176,2239,0
2176,2238,0
2176,2240,0
2169,2235,0
2171,2237,0
2173,2239,0
2171,2235,0
2175,2238,0
2176,2238,0
2178,2238,0
2179,2239,0
661,2238,0
677,2240,0
843,2240,0
665,2239,0
659,2239,0
833,2239,0
670,2238,0
656,2239,0
831,2240,0
675,2240,0
647,2238,0
832,2239,0
671,2239,0
643,2239,0
826,2237,0
674,2240,0
639,2240,0
822,2238,0
669,2238,0
636,2238,0
821,2238,0
673,2239,0
642,2239,0
832,2235,0
676,2239,0
645,2237,0
832,2239,0
673,2238,0
650,2239,0
838,2238,0
663,2240,0
663,2238,0
841,2239,0
656,2241,0
688,2239,0
829,2240,0
671,2239,0
716,2239,0
810,2234,0
676,2238,0
2053,2238,0
2151,2237,0
2228,2235,0
2288,2237,0
2306,2238,0
2199,2237,0
2174,2236,0
2167,2234,0
2161,2238,0
2167,2237,0
2174,2233,0
2166,2239,0
2169,2234,0
2176,2231,0
2174,2238,0
2171,2239,0
2190,2238,0
2281,2235,0
2341,2234,0
2349,2238,0
2343,2238,0
2347,2234,0
2349,2238,0
2350,2235,0
2347,2237,0
2347,2237,0
2352,2238,0
2349,2239,0
2351,2234,0
2352,2235,0
2350,2235,0
2350,2235,0
2338,2240,0
2330,2237,0
2320,2237,0
2322,2240,0
2327,2239,0
2330,2237,0
2315,2236,0
2303,2235,0
2302,2237,0
2288,2235,0
2288,2237,0
2283,2240,0
2277,2235,0
2261,2239,0
2262,2239,0
2253,2234,0
2237,2240,0
2229,2238,0
2233,2237,0
2226,2239,1
2225,2235,0
2239,2234,0
2223,2234,0
2211,2239,0
2211,2234,0
2210,2235,1
2207,2239,1
2203,2239,1
2207,2240,1
2198,2238,1
2197,2237,0
2197,2240,1
2284,2238,0
2333,2237,0
2343,2235,0
2313,2238,0
2265,2239,0
2256,2235,0
2225,2240,0
2233,2234,0
2274,2240,0
2308,2240,0
2329,2238,0
2316,2237,0
2287,2237,0
2274,2235,0
2263,2237,0
2233,2235,0
2192,2237,0
2183,2239,0
2180,2239,0
2193,2239,0
2273,2237,0
2211,2239,0
2192,2235,0
2183,2237,0
2184,2236,0
2185,2235,0
2188,2235,0
2191,2239,0
2192,2236,0
2187,2235,0
2195,2239,0
2195,2235,0
2206,2239,0
2209,2238,0
2207,2234,0
2209,2240,0
2210,2238,0
2225,2236,0
2242,2238,0
2256,2235,0
2247,2238,0
2250,2238,0
2241,2239,0
2249,2239,0
2247,2238,0
2256,2238,0
2253,2238,0
2262,2238,0
2305,2237,0
2320,2240,0
2342,2236,0
2347,2235,0
2346,2239,0
2339,2234,0
2342,2240,0
2347,2235,0
2343,2233,0
2330,2231,0
2333,2233,0
2343,2239,0
2346,2235,0
2346,2235,0
2343,2235,0
2344,2232,0
2350,2238,0
2347,2236,0
2345,2238,0
2343,2235,0
2334,2235,0
2321,2238,0
2319,2233,0
2318,2238,0
2320,2235,0
2305,2237,0
2288,2240,0
2261,2240,0
2238,2235,0
2237,2238,0
2239,2239,0
2240,2237,0
2229,2236,0
2239,2235,0
2232,2235,0
2224,2236,0
2223,2235,0
2214,2234,0
2208,2238,0
2215,2239,0
2215,2237,0
2214,2238,0
2211,2235,0
2215,2235,0
2208,2238,0
2214,2236,0
2209,2239,0
2206,2239,0
2209,2229,0
2207,2237,0
2208,2240,0
2211,2235,0
2209,2235,0
2215,2235,0
2209,2238,0
2223,2235,0
2223,2235,0
2222,2237,0
2221,2238,0
2225,2239,0
2219,2237,0
2209,2239,0
2210,2239,0
2199,2237,0
2198,2238,0
2202,2237,0
2201,2240,0
2205,2239,0
2195,2239,0
2202,2240,0
2204,2239,0
2197,2237,0
2196,2237,0
2206,2238,0
2202,2240,0
2215,2242,0
2213,2241,0
2217,2239,0
2211,2241,0
2208,2237,0
2206,2240,0
2208,2241,0
2207,2242,0
2203,2237,0
2206,2238,0
2213,2240,0
2238,2238,0
2256,2241,0
2182,2239,0
2178,2239,0
2198,2237,0
2336,2238,0
2343,2238,0
2339,2235,0
2336,2238,0
2335,2238,0
2347,2235,0
2351,2238,0
2352,2236,0
2352,2241,0
2353,2235,0
2350,2239,0
2352,2238,0
2353,2237,0
2351,2239,0
2353,2237,0
2352,2237,0
2349,2240,0
2355,2237,0
2352,2234,0
2352,2237,0
2355,2238,0
2351,2239,0
2352,2236,0
956,2239,0
739,2239,0
886,2239,0
924,2238,0
815,2238,0
809,2240,0
879,2240,0
722,2235,0
787,2239,0
774,2239,1
620,2240,1
621,2240,1
443,2240,1
704,2237,0
576,2237,0
1015,2238,0
990,2236,0
622,2239,0
1533,2240,0
2117,2238,0
2217,2238,0
2242,2234,0
2302,2235,0
2316,2237,0
2320,2234,0
2326,2234,0
2328,2235,0
2339,2236,0
2341,2231,0
2234,2238,0
2189,2234,0
2178,2236,0
2174,2235,0
2178,2237,0
2181,2237,0
2179,2237,0
2183,2234,0
2178,2239,0
2176,2237,0
